,altitude,delta,delta_lat,delta_long,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_lat_deg,position_long,position_long_deg,speed,timestamp,unknown_88
449,-118.60000000000002,1.299237498334316,1.2955149005385391,0.09828132864705778,741.22,-118.60000000000002,1.81,138,340123583.0,28.508829390630126,-193074886.0,-16.1833499930799,1.81,2017-02-24 14:34:42,300
450,-119.80000000000001,0.8688265268834331,0.6990188312258305,0.5159769446477263,742.07,-119.80000000000001,1.68,138,340123658.0,28.508835677057505,-193074823.0,-16.183344712480903,1.68,2017-02-24 14:34:43,300
451,-126.0,2.9919063183911843,0.6710580779767973,-2.915679075963467,743.39,-126.0,1.754,138,340123730.0,28.508841712027788,-193075179.0,-16.183374552056193,1.754,2017-02-24 14:34:45,300
452,-123.39999999999998,1.7878138521184275,1.3141554027045614,-1.2121361092587508,743.45,-123.39999999999998,1.801,138,340123871.0,28.50885353051126,-193075327.0,-16.183386957272887,1.801,2017-02-24 14:34:46,300
453,-127.60000000000002,1.340497088689967,1.3234756537875725,-0.2129428059781191,744.34,-127.60000000000002,1.941,138,340124013.0,28.508865432813764,-193075353.0,-16.183389136567712,1.941,2017-02-24 14:34:47,300
454,-124.19999999999999,1.8361216035059853,1.752207203606082,0.5487371488174864,746.1,-124.19999999999999,2.211,138,340124201.0,28.508881190791726,-193075286.0,-16.183383520692587,2.211,2017-02-24 14:34:48,300
455,-122.60000000000002,0.6942535625983098,-0.09320251083011073,-0.6879689681631057,746.1,-122.60000000000002,2.295,138,340124191.0,28.50888035260141,-193075370.0,-16.18339056149125,2.295,2017-02-24 14:34:49,300
456,-129.39999999999998,1.502835667550355,1.2955149005385391,0.7616798449113249,747.58,-129.39999999999998,2.305,138,340124330.0,28.508892003446817,-193075277.0,-16.1833827663213,2.305,2017-02-24 14:34:50,300
457,-125.19999999999999,0.8536127367362536,-0.13048351516215503,0.8435809128881973,748.02,-125.19999999999999,2.183,138,340124316.0,28.508890829980373,-193075174.0,-16.183374132961035,2.183,2017-02-24 14:34:51,300
458,-130.8,0.3517046431643328,-0.25164677924129897,0.24570318378244835,748.02,-130.8,1.745,138,340124289.0,28.508888566866517,-193075144.0,-16.183371618390083,1.745,2017-02-24 14:34:52,300
